iter	Passed	Remaining
710	2841	1154
711	2844	1150
712	2848	1146
713	2851	1142
714	2855	1138
715	2861	1135
716	2867	1131
717	2871	1127
718	2876	1124
719	2881	1120
720	2884	1116
721	2888	1112
722	2892	1108
723	2895	1103
724	2899	1099
725	2903	1095
726	2906	1091
727	2910	1087
728	2913	1083
729	2917	1078
730	2920	1074
731	2924	1070
732	2927	1066
733	2931	1062
734	2934	1058
735	2938	1054
736	2941	1049
737	2945	1045
738	2949	1041
739	2952	1037
740	2956	1033
741	2959	1029
742	2963	1024
743	2966	1020
744	2970	1016
745	2973	1012
746	2977	1008
747	2983	1005
748	2989	1001
749	2995	998
750	3001	995
751	3005	991
752	3008	986
753	3012	982
754	3015	978
755	3019	974
756	3022	970
757	3026	966
758	3030	962
759	3033	958
760	3037	953
761	3043	950
762	3046	946
763	3050	942
764	3053	938
765	3057	934
766	3061	929
767	3065	925
768	3070	922
769	3076	919
770	3081	915
771	3084	911
772	3088	906
773	3092	902
774	3095	898
775	3101	895
776	3107	891
777	3113	888
778	3118	884
779	3121	880
780	3126	876
781	3132	873
782	3138	869
783	3144	866
784	3148	862
785	3152	858
786	3156	854
787	3162	850
788	3171	848
789	3177	844
790	3180	840
791	3184	836
792	3202	835
793	3206	831
794	3209	827
795	3213	823
796	3217	819
797	3221	815
798	3225	811
799	3228	807
800	3232	803
801	3236	798
802	3239	794
803	3243	790
804	3248	787
805	3255	783
806	3258	779
807	3262	775
808	3266	771
809	3269	766
810	3273	762
811	3277	758
812	3280	754
813	3284	750
814	3288	746
815	3291	742
816	3295	738
817	3298	733
818	3302	729
819	3305	725
820	3309	721
821	3313	717
822	3317	713
823	3320	709
824	3324	705
825	3328	701
826	3331	696
827	3335	692
828	3339	688
829	3342	684
830	3348	681
831	3352	676
832	3356	672
833	3359	668
834	3363	664
835	3367	660
836	3372	656
837	3379	653
838	3382	649
839	3386	645
840	3389	640
841	3393	636
842	3397	632
843	3400	628
844	3404	624
845	3408	620
846	3412	616
847	3415	612
848	3419	608
849	3423	604
850	3428	600
851	3433	596
852	3436	592
853	3440	588
854	3444	584
855	3447	579
856	3451	575
857	3454	571
858	3458	567
859	3462	563
860	3465	559
861	3469	555
862	3472	551
863	3476	547
864	3480	543
865	3483	539
866	3487	535
867	3491	530
868	3494	526
869	3498	522
870	3501	518
871	3505	514
872	3508	510
873	3512	506
874	3515	502
875	3519	498
876	3522	494
877	3526	489
878	3529	485
879	3533	481
880	3540	478
881	3545	474
882	3551	470
883	3558	466
884	3562	462
885	3565	458
886	3569	454
887	3572	450
888	3576	446
889	3580	442
890	3585	438
891	3588	434
892	3592	430
893	3595	426
894	3599	422
895	3602	418
896	3608	414
897	3611	410
898	3615	406
899	3618	402
900	3622	398
901	3625	393
902	3629	389
903	3632	385
904	3636	381
905	3640	377
906	3643	373
907	3647	369
908	3650	365
909	3654	361
910	3658	357
911	3661	353
912	3665	349
913	3668	345
914	3672	341
915	3675	337
916	3679	333
917	3683	329
918	3686	324
919	3690	320
920	3693	316
921	3697	312
922	3700	308
923	3704	304
924	3707	300
925	3711	296
926	3714	292
927	3721	288
928	3727	284
929	3732	280
930	3738	277
931	3742	273
932	3746	269
933	3749	264
934	3753	260
935	3756	256
936	3760	252
937	3764	248
938	3767	244
939	3771	240
940	3774	236
941	3778	232
942	3781	228
943	3786	224
944	3790	220
945	3793	216
946	3797	212
947	3801	208
948	3804	204
949	3808	200
950	3811	196
951	3815	192
952	3818	188
953	3823	184
954	3828	180
955	3832	176
956	3836	172
957	3839	168
958	3843	164
959	3846	160
960	3850	156
961	3853	152
962	3857	148
963	3860	144
964	3864	140
965	3868	136
966	3873	132
967	3877	128
968	3880	124
969	3884	120
970	3887	116
971	3891	112
972	3894	108
973	3898	104
974	3905	100
975	3910	96
976	3916	92
977	3920	88
978	3924	84
979	3927	80
980	3931	76
981	3934	72
982	3938	68
983	3942	64
984	3947	60
985	3950	56
986	3954	52
987	3957	48
988	3961	44
989	3965	40
990	3968	36
991	3972	32
992	3975	28
993	3979	24
994	3982	20
995	3986	16
996	3990	12
997	3993	8
998	3997	4
999	4000	0
